x,y,rho,u,v,p,uu,vv,ww,_uv
0.23498762,-0.97064418,1.0020664,0.87612325,0.21273127,1.0029863,1.04E-07,1.07E-07,5.25E-13,2.73E-06
0.2458446,-0.97064418,1.0020671,0.87639284,0.21182851,1.0029852,3.88E-07,7.89E-08,5.50E-13,3.73E-06
0.25670159,-0.97064418,1.0020674,0.87667608,0.21093458,1.002986,2.08E-06,1.50E-07,5.81E-13,-2.08E-07
0.26755857,-0.97064418,1.0020659,0.87698168,0.21005249,1.0029854,2.36E-06,6.34E-08,6.18E-13,6.09E-07
0.27841559,-0.97064418,1.0020651,0.87730563,0.20917805,1.0029806,3.01E-06,1.96E-07,6.61E-13,1.02E-06
0.28927258,-0.97064418,1.0020634,0.8776406,0.20831484,1.0029782,5.52E-07,5.14E-08,7.10E-13,1.56E-06
0.30012956,-0.97064418,1.0020632,0.87798244,0.20746148,1.0029752,4.58E-06,0,7.63E-13,-9.23E-07
0.31098655,-0.97064418,1.0020628,0.87834203,0.2066174,1.0029628,1.27E-05,9.29E-07,8.18E-13,-2.41E-06
0.32184353,-0.97064418,1.002056,0.87872922,0.20578763,1.0029585,5.64E-07,1.36E-07,8.74E-13,8.66E-07
0.33270052,-0.97064418,1.0020541,0.87911177,0.20496772,1.0029558,1.46E-05,7.70E-07,9.31E-13,-3.04E-06
0.34355754,-0.97064418,1.0020456,0.87952483,0.20416318,1.0029454,4.50E-06,3.52E-07,9.86E-13,-3.55E-07
0.35441452,-0.97064418,1.0020427,0.87994397,0.20336868,1.002943,2.90E-06,3.15E-07,1.04E-12,1.42E-06
0.36527151,-0.97064418,1.0020404,0.88036913,0.20258552,1.0029392,4.93E-06,4.76E-07,1.09E-12,-1.57E-07
0.37612849,-0.97064418,1.0020299,0.88081264,0.20181715,1.0029346,3.06E-06,1.04E-07,1.14E-12,2.49E-06
0.38698548,-0.97064418,1.0020261,0.88126314,0.20105729,1.0029132,6.97E-06,4.15E-07,1.19E-12,-5.85E-08
0.39784247,-0.97064418,1.0020223,0.88172054,0.20031354,1.0029087,2.93E-06,3.19E-07,1.25E-12,-1.26E-06
0.40869948,-0.97064418,1.0020156,0.882195,0.19958355,1.002902,9.37E-07,7.85E-08,1.30E-12,1.13E-06
0.41955647,-0.97064418,1.0020061,0.88267994,0.19886576,1.0028988,8.35E-07,1.42E-07,1.35E-12,1.60E-06
0.43041345,-0.97064418,1.0020006,0.88317007,0.19815958,1.0028888,5.85E-07,9.81E-08,1.40E-12,1.11E-06
0.44127044,-0.97064418,1.0019981,0.88365978,0.19746856,1.0028689,1.23E-05,2.01E-08,1.46E-12,-7.21E-07
0.45212743,-0.97064418,1.0019926,0.88416928,0.19678932,1.0028636,4.83E-06,4.62E-07,1.51E-12,-2.13E-07
0.46298441,-0.97064418,1.0019866,0.88468313,0.19612554,1.0028572,1.02E-05,5.68E-08,1.55E-12,-1.72E-06
0.47384143,-0.97064418,1.0019786,0.88520813,0.19547503,1.0028495,4.34E-06,2.07E-07,1.59E-12,-4.09E-07
0.48469841,-0.97064418,1.0019729,0.88574064,0.19483651,1.002839,1.55E-06,5.36E-07,1.62E-12,-1.33E-08
0.4955554,-0.97064418,1.0019593,0.88627863,0.19421288,1.0028214,2.76E-06,1.28E-07,1.64E-12,1.39E-06
0.50641239,-0.97064418,1.0019481,0.88682663,0.19360332,1.0028106,2.90E-07,0,1.65E-12,2.14E-06
0.51726937,-0.97064418,1.0019379,0.88737559,0.19300735,1.0028011,1.06E-06,0,1.64E-12,3.03E-06
0.52812636,-0.97064418,1.0019323,0.88792503,0.19242284,1.0027941,1.77E-06,1.25E-07,1.62E-12,2.09E-06
0.53898335,-0.97064418,1.0019298,0.88847882,0.19185136,1.0027747,2.71E-07,3.56E-07,1.59E-12,2.79E-07
