x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2];Uncertainty V [m/s]
23.7131;11.4474;4.2654;0.346116;0.00260214;-0.00221568;0.00769871;0.0058695
24.0702;11.4474;4.26657;0.337317;0.00277893;-0.00196618;0.00836201;0.00609397
24.4273;11.4474;4.2694;0.334247;0.0021303;-0.00134416;0.00848611;0.00594878
24.7845;11.4474;4.27017;0.33693;0.00157225;-0.000708023;0.00760754;0.00553167
25.1416;11.4474;4.27092;0.342379;0.00123063;-0.000666629;0.00692335;0.00521344
25.4987;11.4474;4.27203;0.344836;0.00130067;-0.000617875;0.00594156;0.00491332
25.8558;11.4474;4.27413;0.342422;0.00157112;-0.000776932;0.00464938;0.00455357
26.2129;11.4474;4.27662;0.339885;0.00193494;-0.00105305;0.00409855;0.0044846
26.5701;11.4474;4.27976;0.341553;0.00210702;-0.000779167;0.0034675;0.00431065
26.9272;11.4474;4.28629;0.340271;0.00214806;-0.000350036;0.00312883;0.004194
27.2843;11.4474;4.29041;0.33619;0.00218536;-0.000390275;0.00308893;0.00419297
27.6414;11.4474;4.28895;0.33178;0.0021007;-0.000754285;0.00287801;0.00407378
27.9985;11.4474;4.28571;0.329161;0.00222182;-0.000943012;0.00286789;0.00411895
28.3556;11.4474;4.28327;0.32419;0.0020456;-0.000822243;0.00313521;0.00415564
28.7128;11.4474;4.28771;0.318287;0.00198309;-0.000711712;0.00314645;0.00413503
29.0699;11.4474;4.29353;0.311007;0.00195515;-0.000582624;0.0028285;0.00399318
29.427;11.4474;4.29696;0.30465;0.00179224;-0.000516907;0.00275979;0.00389531
29.7841;11.4474;4.30289;0.299706;0.00189077;-0.000363631;0.00306791;0.00406558
30.1412;11.4474;4.30844;0.294586;0.00202566;-0.000346781;0.00350091;0.00429207
30.4984;11.4474;4.3112;0.291103;0.00175718;-0.00029094;0.00443303;0.00454247
30.8555;11.4474;4.3072;0.288;0.00175222;-0.000281038;0.00530271;0.00484937
31.2126;11.4474;4.30715;0.284551;0.00168714;-0.00016912;0.00578203;0.00498971
31.5697;11.4474;4.31527;0.278014;0.00147349;-0.000303242;0.00562609;0.0048647
31.9268;11.4474;4.32114;0.269023;0.00123621;-0.00032883;0.00546038;0.00472461
32.284;11.4474;4.32314;0.267676;0.00129919;-9.66242e-05;0.00535659;0.0047102
32.6411;11.4474;4.31739;0.273545;0.00157491;0.000102021;0.00534805;0.0048038
32.9982;11.4474;4.31528;0.287122;0.00191221;0.000152144;0.00496295;0.00478719
33.3553;11.4474;4.30932;0.300508;0.00200775;0.000305868;0.0044563;0.00464186
33.7124;11.4474;4.30244;0.304358;0.00215859;-7.61962e-05;0.00431433;0.00464504
34.0695;11.4474;4.29836;0.29582;0.00205518;-0.000269681;0.00473186;0.00475641
34.4267;11.4474;4.29369;0.282991;0.00219985;-2.84861e-07;0.00538461;0.00502808
34.7838;11.4474;4.2813;0.271375;0.00256516;0.000405323;0.00658701;0.00552334
35.1409;11.4474;4.2695;0.256915;0.00287452;0.000414337;0.00710983;0.00576899
35.498;11.4474;4.26767;0.245337;0.00297155;-0.000136009;0.00722642;0.00583037
