x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2]
-38.6968;10.7956;6.92291;0.618596;0.00253744;-3.86276e-05;0.00158896
-38.3402;10.7956;6.91794;0.62691;0.00267168;0.000236183;0.00141475
-37.9837;10.7956;6.91252;0.63464;0.0030988;0.000369486;0.00134053
-37.6271;10.7956;6.91073;0.640087;0.00358397;6.50224e-05;0.0013252
-37.2705;10.7956;6.91616;0.642232;0.00339989;6.551e-05;0.0012924
-36.9139;10.7956;6.91904;0.644659;0.00265756;5.14013e-06;0.00108433
-36.5573;10.7956;6.92186;0.645773;0.00236692;2.26912e-05;0.00105395
-36.2007;10.7956;6.91818;0.64947;0.00251656;-3.23466e-05;0.00102871
-35.8441;10.7956;6.91357;0.654943;0.00221752;-3.61736e-05;0.00109156
-35.4876;10.7956;6.9164;0.658777;0.00236153;-4.01811e-05;0.00104677
-35.131;10.7956;6.92353;0.660801;0.00270628;-3.21776e-06;0.000942161
-34.7744;10.7956;6.93415;0.663866;0.00361657;6.72933e-05;0.000827153
-34.4178;10.7956;6.93932;0.667289;0.00358724;2.50077e-05;0.000762353
-34.0612;10.7956;6.94017;0.671781;0.00327279;-5.94813e-05;0.000699697
-33.7046;10.7956;6.94816;0.673411;0.0027457;4.40691e-05;0.00069997
-33.348;10.7956;6.955;0.672751;0.00296569;6.5707e-05;0.000704651
-32.9914;10.7956;6.95546;0.672585;0.00300961;-1.90568e-05;0.000849448
-32.6349;10.7956;6.95293;0.676882;0.00332181;-0.000205726;0.000974139
-32.2783;10.7956;6.95486;0.679524;0.00366806;-0.000412096;0.000964439
-31.9217;10.7956;6.95212;0.679363;0.00319961;-0.000398039;0.000862212
-31.5651;10.7956;6.94438;0.677442;0.00291504;-0.000255644;0.000705507
-31.2085;10.7956;6.94585;0.676229;0.00288874;-0.000309673;0.000806371
-30.8519;10.7956;6.95192;0.675223;0.00259448;-0.000321888;0.000946722
-30.4953;10.7956;6.95539;0.675043;0.00245515;-0.00021735;0.000790626
-30.1387;10.7956;6.95691;0.678801;0.00236803;-0.000197348;0.000691142
-29.7822;10.7956;6.95434;0.685622;0.00223841;-0.000167374;0.000671297
-29.4256;10.7956;6.9532;0.692554;0.00211735;-0.000230975;0.000587244
-29.069;10.7956;6.95888;0.6964;0.00220404;-0.000124914;0.000628104
-28.7124;10.7956;6.97259;0.69643;0.00212088;3.19976e-06;0.000648738
-28.3558;10.7956;6.99008;0.698741;0.00254902;-9.32528e-05;0.000654025
-27.9992;10.7956;7.00486;0.704963;0.00269766;-8.41851e-05;0.000732584
-27.6426;10.7956;7.0131;0.71252;0.00264796;-8.70247e-05;0.000748379
