x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2]
-33.783;11.0903;3.86679;0.420341;0.00327298;-0.000521801;0.00185661
-33.4258;11.0903;3.87349;0.403811;0.00463108;-0.00227095;0.00278205
-33.0687;11.0903;3.87176;0.408716;0.00289313;-0.000142579;0.00192371
-32.7116;11.0903;3.8676;0.414864;0.00795228;0.00151742;0.00237481
-32.3545;11.0903;3.89287;0.431523;0.0119963;0.00272884;0.00230478
-31.9974;11.0903;3.91642;0.448264;0.00924379;0.00592726;0.00638677
-31.6402;11.0903;3.89857;0.447205;0.00564823;0.003384;0.00659105
-31.2831;11.0903;3.88169;0.43602;0.00561293;0.00090854;0.00519303
-30.926;11.0903;3.86942;0.428107;0.00338331;-0.000356525;0.00531804
-30.5689;11.0903;3.86997;0.42916;0.00310324;0.000706623;0.00556712
-30.2118;11.0903;3.892;0.434166;0.00175508;0.000177088;0.00476827
-29.8546;11.0903;3.9046;0.437793;0.00285801;-0.00179598;0.00515583
-29.4975;11.0903;3.90944;0.440136;0.00274413;-0.000873267;0.00271327
-29.1404;11.0903;3.90085;0.443983;0.00341432;-0.00068252;0.0016876
-28.7833;11.0903;3.88362;0.456276;0.00463605;-0.000459616;0.00103664
-28.4262;11.0903;3.87995;0.474928;0.00488976;-0.00110532;0.00127753
-28.0691;11.0903;3.89109;0.487367;0.00396738;-0.00109695;0.00144096
-27.7119;11.0903;3.88703;0.49445;0.0049627;-0.00192863;0.00257528
-27.3548;11.0903;3.89025;0.498157;0.00393256;-0.00123849;0.00204111
-26.9977;11.0903;3.90135;0.498614;0.00756678;-0.00325508;0.00341841
-26.6406;11.0903;3.92561;0.494121;0.00623304;-0.00170038;0.00408186
-26.2835;11.0903;3.93662;0.49186;0.00452555;-0.000368404;0.00268211
-25.9263;11.0903;3.9427;0.495637;0.00452337;-0.00230713;0.00257594
-25.5692;11.0903;3.93668;0.480368;0.00498066;-0.00319524;0.00432371
-25.2121;11.0903;3.93219;0.457005;0.00338727;-0.00168588;0.00373298
-24.855;11.0903;3.92314;0.454984;0.00238455;-0.000534567;0.00332211
-24.4979;11.0903;3.91445;0.460005;0.00181807;-0.000291229;0.00492277
-24.1408;11.0903;3.92586;0.473944;0.00263707;-2.17155e-05;0.00609909
-23.7836;11.0903;3.93709;0.469039;0.00265258;-0.000236667;0.00637597
-23.4265;11.0903;3.95567;0.464275;0.00279419;-0.000423465;0.00681229
-23.0694;11.0903;3.96041;0.485833;0.00346479;-0.0013909;0.00777504
-22.7123;11.0903;3.96394;0.521911;0.00432132;-0.000282021;0.0052594
-22.3552;11.0903;3.9744;0.526769;0.00466896;-0.000333185;0.00536103
-21.998;11.0903;3.98016;0.526873;0.00409667;-0.000772286;0.00582404
-21.6409;11.0903;3.97627;0.523555;0.0029998;-0.00163082;0.00902683
-21.2838;11.0903;3.97297;0.523644;0.00275193;-0.00100192;0.00464778
-20.9267;11.0903;3.97875;0.516004;0.00343288;0.000940309;0.00236392
-20.5696;11.0903;3.98455;0.517274;0.00486216;0.00161925;0.0032516
-20.2125;11.0903;3.98304;0.516443;0.00332096;-0.000128014;0.00268812
-19.8553;11.0903;3.97186;0.506994;0.00332519;-0.00108647;0.0030028
-19.4982;11.0903;3.97325;0.503186;0.00380235;-0.000490295;0.00266835
-19.1411;11.0903;3.98181;0.487709;0.00283301;0.000449871;0.00259921
-18.784;11.0903;3.9828;0.473549;0.00223658;0.000630761;0.00179484
-18.4269;11.0903;3.98423;0.471133;0.00122441;0.000712382;0.00214252
-18.0697;11.0903;3.99415;0.474088;0.00147456;0.000144778;0.00193798
-17.7126;11.0903;4.00196;0.471933;0.0018908;-0.000294313;0.00105996
-17.3555;11.0903;4.00288;0.468616;0.00189095;-0.000357649;0.000542247
-16.9984;11.0903;4.00496;0.462893;0.00143921;-0.000304162;0.000812043
-16.6413;11.0903;4.00574;0.460292;0.00173144;-0.000423003;0.00131279
